date;highest_buy_price;lowest_sell_price;median_price;volume;Cashnana;176497402;https://community.akamai.steamstatic.com/economy/image/W6a8T_dRhs903stAM6adKqQXGt6NXZvkj0mWPP8i2SbqS7lxnk0qJMn3Q_qLEs2SIT8vE62ZUwCx5evUvqA3hF-dF7YJ2h-XFAdxUxtfD64QSBCRarx30BXlFI3E0IVwiO3dITnleHg/62fx62f
17-03-2025;4.940,71;584.618,61;;
17-03-2025;18.622,72;88.145,12;;
18-03-2025;777,31;71.401;7.681,10;3
18-03-2025;882,11;71.160,42;774,26;7
19-03-2025;1.189,03;16.692,71;773,86;4
20-03-2025;882,34;15.328,43;14.990,81;13
20-03-2025;1.470,57;14.300,87;14.066,50;14
21-03-2025;2.752,67;8.285,08;4.525,13;17
21-03-2025;623,10;894,95;615,72;21
22-03-2025;609,50;6.999,75;911,25;11
22-03-2025;1.518,51;6.064,64;356,89;9
23-03-2025;704,84;5.088,45;356,89;3
23-03-2025;704,84;4.179,42;723,83;3
24-03-2025;682,27;3.792,55;690,51;9
24-03-2025;588,85;3.510,54;659,22;7
25-03-2025;686,91;1.362,09;512,85;2
25-03-2025;589,62;686,92;658,91;11
